Companies,company_codes,desc,industry_codes,publication_date,Regions,region_codes,title,wordcount
Facebook Inc,",onlnfr,onlnfr,","Mumbai: Facebook CEO Mark Zuckerberg has not marked his relationship status as ""married"".

His wife Priscilla Chan has.",",iint,imed,isocial,",1338681600000,Mumbai,",mumbai,uttar,asiaz,bric,devgcoz,dvpcoz,india,indsubz,mahara,sasiaz,",Facebook unfriends desi spouses too,18
Twitter Inc.,",twnit,","Just one day after being hit by a car on the Upper West Side of Manhattan, actorhttp://www.washingtonpost.com/blogs/celebritology/post/michael-mckean-in-stable-condition-after-being-struck-by-car/2012/05/23/gJQAbpEKkU_blog.html Michael McKean returned to Twitter to declare himself a ""lucky man.""

The ""This Is Spinal Tap"" star tweeted late Wednesday, ""Lucky man: best wife, great kids, awesome docs and nurses, priceless friends; a little overwhelmed by the sweet tweets. Love all y'all.""",",iint,imed,isocial,",1337817600000,United States,",usa,usdc,namz,use,","Michael McKean tweets he's a 'lucky man' after being hit by car; ""Lucky man: best wife, great kids, awesome docs and nurses, priceless friends; a little overwhelmed by the sweet tweets,"" the ""This Is Spinal Tap"" actor said in a tweet.",59
Facebook Inc,",onlnfr,onlnfr,","
BETHESDA, Md.--(BUSINESS WIRE)--May 16, 2012-- 

Calvert Investments was ranked among the ""Top Social Media Leaders in 2012"" according to kasina, a financial services consulting firm. Calvert ranked number five out of fifty-three asset management and insurance firms for its promotional use of Facebook. kasina used a three-tier methodology that ranked firms based on content, branding, interactivity, and usability on each social platform.",",iint,imed,isocial,",1337196660000,United States,",usa,namz,",kasina Ranks Calvert Investments Among Top Five Social Media Leaders of 2012,62
Facebook Inc,",onlnfr,onlnfr,assean,","(This story has been posted on The Wall Street Journal Online's South East Asia Real Time Report blog at http://blogs.wsj.com/searealtime/)

By John D. McKinnon",",iint,imed,isocial,",1336959000000,United States,",usa,usca,usw,namz,",WSJ BLOG/SE Asia Real Time: Facebook Co-Founder: America is OK. It's the Rules That Are a Pain.,24
National Labor Relations Board,",natlrb,onlnfr,onlnfr,twnit,","In step with efforts by national lawmakers to ban employers from demanding workers' Facebook passwords, California today made a major move toward passing its own version of such legislation.

AB 1844 passed the state assembly unanimously by a 73-0 vote and now heads to the state senate. The bill, first introduced to the California State Assembly in February, would prohibit employers from requiring an employee or prospective employee to provide their username and password for Facebook, Twitter, or other social-media accounts. Assemblymember Nora Campos (D-San Jose), who authored the bill, calls AB 1844 a ""preemptive measure"" that will offer guidelines to the accessibility of private information behind what she calls the ""social media wall.""",",isocial,iint,imed,",1336608000000,United States,",usa,usca,namz,usw,",Progress for Calif. bill to stop employers' social-media snooping,114
FIH Mobile Limited,",fxcihl,goog,mcrost,onlnfr,yahcor,","Twitter needs an Arab Spring.

In the past 12 months, the microblogging social-networking service played a role in changing the world, 140 characters at a time.",",isocial,iint,imed,",1328140800000,Egypt,",egypt,china,africaz,apacz,asiaz,bric,chinaz,devgcoz,dvpcoz,easiaz,meastz,medz,nafrz,",#TwitterBlackout emerges ,26
Facebook Inc,",onlnfr,","The world of social networking has added a new and worrying dimension to the age-old perils of teenage relationships.

Advocates are warning of the dangers of sharing individual passwords on sites such as Facebook and Twitter - a practice common between young couples in New Zealand.",",isocial,iint,imed,",1327708800000,New Zealand,",nz,apacz,ausnz,",30% of teens have shared passwords with peers,46
The Creative Co Ltd,",crevco,wstcco,onlnfr,onlnfr,twnit,","PARENTS are overwhelmingly embracing social media to share information and photos of their children.

New figures from socialmedianews.com.au show social media continues to grow in Australia with 10,659,580 active Facebook users in Australia in October, 10 million on Youtube, 2.2 million on LinkedIn, 1.8 million on Twitter and 1.1 million on Flickr.",",isocial,iint,imed,",1322265600000,Australia,",austr,apacz,ausnz,",PARENTS are overwhelmingly embracing social,52
Facebook Inc,",onlnfr,goog,","Eloqua announced the introduction of its latest suite of social media solutions for the company's marketing automation platform at Dreamforce 2011.

Dreamforce 2011 is an annual cloud computing event held at the Moscone Center in San Francisco, California.",",isocial,iint,imed,",1315699200000,United States,",usa,namz,",Eloqua Introduces Social Media Suite at Dreamforce 2011,38
Facebook Inc,",onlnfr,goog,onlnfr,","India, Sept. 6 -- Facebook is reportedly prepping a new feature that will allow its users to view others' wall posts in the language of their choice with just a single click. The ""Translate"" button, reports say, is presently visible to only a handful of Facebook users and is expected to be rolled out elsewhere very soon.

Related Stories",",iint,imed,isocial,",1315267200000,India,",india,asiaz,bric,devgcoz,dvpcoz,indsubz,sasiaz,","Facebook prepping a 'Translate' button for its pages, say reports",59
